TT	PID	AT	CT	IO_D	WT	RT	TRT
543	175	152	41	7	351	245	392
545	146	130	27	0	389	34	416
551	224	218	17	1	317	48	334
558	180	159	17	0	383	174	400
559	28	27	27	3	506	13	533
561	249	240	37	4	285	177	322
563	125	111	27	12	426	97	453
571	71	61	22	9	489	41	511
574	240	231	50	7	294	70	344
576	153	135	18	4	424	51	442
576	147	130	13	7	434	125	447
580	95	87	3	4	491	85	494
581	281	278	27	8	277	38	304
581	189	167	42	3	373	67	415
589	83	73	34	0	483	11	517
598	150	134	42	0	423	260	465
598	113	104	8	5	487	64	495
603	172	151	46	8	407	22	453
603	77	69	39	8	496	43	535
605	75	68	27	0	511	100	538
610	192	171	27	0	413	1	440
612	229	221	26	5	366	49	392
614	164	145	4	4	466	23	470
619	88	78	49	3	493	4	542
619	37	32	33	5	555	5	588
627	208	193	9	10	426	112	435
629	105	98	21	12	511	38	532
630	256	244	13	7	
